# Frequency Estimates (MPI with 4 processes)
# Item, Estimated Frequency
item_2214, 3
item_2, 1728
item_327, 3
item_1688, 2
item_6, 248
item_60, 19
item_16, 60
item_763, 1
item_66, 10
item_9, 154
item_8, 175
item_3, 796
item_66, 10
item_41, 22
item_3, 796
item_2, 1728
item_2, 1728
item_2, 1728
item_2, 1728
item_2, 1728
item_41769, 2
item_6, 248
item_4, 486
item_18, 61
item_3, 796
item_39, 25
item_226, 4
item_393, 2
item_47, 17
item_6, 248
item_161, 7
item_4, 486
item_2, 1728
item_66, 10
item_131, 7
item_2, 1728
item_137, 10
item_252, 3
item_73, 12
item_137, 10
item_15545, 2
item_33, 43
item_11904, 1
item_2, 1728
item_12, 111
item_16, 60
item_60, 19
item_2, 1728
item_3150, 1
item_14707, 1
item_5995, 2
item_4, 486
item_91, 11
item_67, 8
item_233, 3
item_3724, 2
item_53, 16
item_4659, 1
item_15, 73
item_35, 22
item_15, 73
item_55, 16
item_2, 1728
item_46, 21
item_4, 486
item_2, 1728
item_6, 248
item_32, 32
item_2, 1728
item_10493, 1
item_874, 4
item_25871, 3
item_29, 37
item_36889, 1
item_10, 122
item_295, 3
item_7, 214
item_39557, 1
item_20, 46
item_2, 1728
item_5, 348
item_525, 2
item_4, 486
item_3, 796
item_38, 28
item_4294, 2
item_2, 1728
item_3018, 1
item_59, 8
item_12, 111
item_8, 175
item_390, 4
item_11727, 1
item_17, 74
item_3, 796
item_2, 1728
item_3204, 1
item_6, 248
item_3, 796
item_20017, 2
