Processes,N_Threads,Serial_Time,Compute_Time,Total_Time,Speedup_Compute,Efficiency_Compute,Speedup_Comm,Efficiency_Comm
2,1,1.796379,0.977644,1.122687,1.837458,91.872910,1.600072,80.003601
2,2,1.786418,1.479385,1.695869,1.207541,60.377075,1.053394,52.669697
2,4,1.773662,0.843621,1.058786,2.102438,105.121925,1.675184,83.759193
2,8,1.891328,0.626483,0.770034,3.018963,150.948135,2.456161,122.808060
2,16,1.846932,0.656335,0.807247,2.814007,140.700363,2.287938,114.396919
2,32,1.797811,0.599316,0.744223,2.999770,149.988525,2.415688,120.784393
2,64,1.797268,0.635739,0.790572,2.827052,141.352600,2.273376,113.668785
4,1,1.805744,0.486801,0.773722,3.709410,92.735252,2.333839,58.345974
4,2,1.916583,0.464223,0.953301,4.128578,103.214455,2.010469,50.261730
4,4,1.835633,0.355725,0.842133,5.160256,129.006393,2.179744,54.493595
4,8,1.820464,0.233091,0.632472,7.810083,195.252075,2.878330,71.958237
4,16,1.790498,0.243308,0.565218,7.358971,183.974274,3.167799,79.194977
4,32,1.771065,0.332877,0.601753,5.320486,133.012146,2.943177,73.579430
4,64,1.801793,0.365444,0.688804,4.930426,123.260643,2.615827,65.395676
8,1,1.801429,0.243753,0.471072,7.390402,92.380028,3.824102,47.801277
8,2,1.807457,0.221202,0.451872,8.171073,102.138412,3.999929,49.999115
8,4,1.901340,0.245597,0.516967,7.741704,96.771294,3.677879,45.973484
8,8,1.774853,0.200426,0.446970,8.855425,110.692810,3.970857,49.635715
8,16,1.844820,0.248468,0.503871,7.424765,92.809555,3.661296,45.766205
8,32,1.797184,0.257051,0.534995,6.991556,87.394447,3.359255,41.990681
8,64,1.889363,0.271166,0.797897,6.967545,87.094307,2.367928,29.599098
16,1,1.975615,0.132391,0.367806,14.922536,93.265846,5.371353,33.570957
16,2,1.915207,0.105023,0.426856,18.236040,113.975250,4.486775,28.042347
16,4,1.972990,0.101659,0.366073,19.407984,121.299896,5.389608,33.685051
16,8,1.896191,0.115878,0.339075,16.363625,102.272652,5.592239,34.951496
16,16,1.943882,0.126988,0.465450,15.307658,95.672867,4.176353,26.102209
16,32,1.914274,0.170772,0.661709,11.209531,70.059570,2.892926,18.080790
16,64,1.914139,0.246503,0.967526,7.765185,48.532406,1.978386,12.364913
32,1,1.940086,0.066381,0.314887,29.226572,91.333038,6.161217,19.253803
32,2,1.991448,0.098681,0.350832,20.180563,63.064259,5.676366,17.738644
32,4,1.932581,0.073288,0.316097,26.369745,82.405457,6.113890,19.105907
32,8,2.003618,0.103159,0.420083,19.422556,60.695488,4.769571,14.904910
32,16,1.955373,0.166893,0.547738,11.716331,36.613533,3.569906,11.155957
32,32,1.952924,0.163550,0.921809,11.940848,37.315151,2.118576,6.620551
32,64,1.991521,0.258472,1.435856,7.704969,24.078030,1.386992,4.334350
64,1,2.486570,0.040088,0.337697,62.027523,96.918007,7.363324,11.505194
64,2,2.460232,0.042137,0.397011,58.386562,91.229004,6.196888,9.682637
64,4,2.493868,0.066657,0.443626,37.413376,58.458401,5.621553,8.783676
64,8,2.532361,0.109714,0.656604,23.081503,36.064850,3.856758,6.026184
64,16,2.441895,0.217251,0.944477,11.239969,17.562452,2.585447,4.039761
64,32,2.483169,0.359695,1.520229,6.903547,10.786793,1.633418,2.552215
64,64,2.455131,0.429373,2.652582,5.717939,8.934279,0.925563,1.446192
