Processes,N_Threads,Total_Lines,Serial_Time,Compute_Time,Compute_Communication_Time,Weak_Scaling_Compute,Weak_Scaling_Communication
2,8,262144,0.031723,0.018326,0.027184,1.731045,1.166975
4,8,524288,0.031706,0.023959,0.039689,1.323357,0.798873
8,8,1048576,0.031778,0.019586,0.060889,1.622519,0.521903
16,8,2097152,0.032221,0.036034,0.122147,0.894179,0.263789
32,8,4194304,0.032938,0.033302,0.267379,0.989088,0.123190
64,8,8388608,0.039502,0.049607,0.603027,0.796295,0.065506
2,8,32768,0.003638,0.003379,0.004040,1.076645,0.900416
4,8,65536,0.003648,0.002933,0.005085,1.243626,0.717393
8,8,131072,0.003637,0.002909,0.006258,1.250301,0.581162
16,8,262144,0.003987,0.007191,0.014135,0.554408,0.282053
32,8,524288,0.003969,0.013287,0.038493,0.298730,0.103115
64,8,1048576,0.004011,0.029588,0.101076,0.135560,0.039682
2,8,16384,0.001809,0.001746,0.002090,1.035870,0.865287
4,8,32768,0.001845,0.001684,0.002308,1.095616,0.799475
8,8,65536,0.001933,0.001775,0.003286,1.088705,0.588178
16,8,131072,0.001943,0.005190,0.012005,0.374461,0.161883
32,8,262144,0.001977,0.009216,0.030212,0.214573,0.065451
64,8,524288,0.002199,0.026361,0.075297,0.083430,0.029208
